 # 2014 10 31 
 # CdTe 20 x 20 x 2 cm^3
 # Crab type flux, 60 to 600 keV, in Z, centered in XY plane 
 # 1 keV Threshold, 5*10^5 photons
162 0.031814 36.5806 -45.0802 -6.4055
162 0.185681 36.5892 -45.0737 -6.39848
162 -0.217495 36.5806 -45.0802 -24
163 0.031814 -92.4208 16.8141 -8.38941
163 0.128415 -92.4151 16.8101 -8.38784
163 -0.160229 -92.4208 16.8141 -24
164 0.026711 31.2609 -9.38591 -8.53354
164 0.116493 31.2623 -9.39071 -8.52998
164 -0.143204 31.2609 -9.38591 -24
165 0.026711 88.419 -30.2913 -5.59286
165 0.148986 88.4255 -30.2951 -5.58778
165 -0.175697 88.419 -30.2913 -24
166 0.031814 -65.2519 2.5329 -8.78492
166 0.0437045 -65.2507 2.53257 -8.78466
166 -0.0755185 -65.2519 2.5329 -24
167 0.031814 -25.179 27.8456 -9.92155
167 0.0259489 -25.1787 27.846 -9.92143
167 -0.0577629 -25.179 27.8456 -24
168 0.031814 54.2357 -77.4815 -2.93607
168 0.210986 54.2258 -77.482 -2.92385
168 -0.2428 54.2357 -77.4815 -24
169 0.031814 -79.4142 -10.9766 3.48673
169 0.259384 -79.4051 -10.957 3.48974
169 0.0554575 -83.5898 -18.4243 -5.35051
169 -0.346656 -83.589 -18.4229 -24
170 0.031814 -80.977 79.5803 -9.85385
170 0.0234446 -80.9766 79.5802 -9.85379
170 -0.0552586 -80.977 79.5803 -24
171 0.031814 -31.9391 -17.7397 -9.6918
171 0.0423851 -31.9403 -17.7399 -9.69213
171 0.0303585 -31.7625 -17.883 -9.90706
171 0.0542388 -32.4554 -17.3406 -9.11326
171 -0.158796 -32.455 -17.3409 -24
172 0.026711 14.8426 41.0454 2.37603
172 0.179362 14.8359 41.0543 2.38109
172 0.0552629 17.9152 35.2998 -1.14506
172 -0.261335 17.9146 35.301 -24
173 0.031814 -87.4253 -68.6929 -8.48036
173 0.0912071 -87.4251 -68.6969 -8.47949
173 -0.123021 -87.4253 -68.6929 -24
174 -0.336482 24.5157 58.9262 -24
175 0.031814 42.2624 -52.603 -8.49743
175 0.10499 42.26 -52.6075 -8.49759
175 0.0950363 42.0246 -51.823 -7.98312
175 -0.231841 42.0251 -51.8245 -24
176 0.026711 49.624 72.9394 -7.39479
176 0.0656946 49.6221 72.9391 -7.39339
176 -0.0924056 49.624 72.9394 -24
177 0.031814 24.5283 5.82076 7.81283
177 0.3013 24.5319 5.80101 7.83155
177 -0.333114 24.5283 5.82076 -24
178 0.031814 58.9262 -80.4035 -9.99848
178 0.00118575 58.9264 -80.4042 -9.99689
178 0.00201064 58.9267 -80.4045 -9.99636
178 0.00102055 58.9262 -80.4041 -9.99605
178 0.00204192 58.9266 -80.4045 -9.99662
178 0.0014832 58.9272 -80.4049 -9.99696
